LANGUAGE, English, German
STRS_hideoutaction_info, "You bought a hideout. It is now available in your inventory (Place it by selecting it in the inventory and click use. Note: You can't place the hideout inside towns.)", "Du hast ein Hideout gekauft. Es befindet sich nun in deinem Inventar. Du kannst es bauen indem du es im Inventar auswaehlst und auf Benutzen klickst (Beachte: Du kannst es nicht ueberall bauen - Fuer mehr Informationen siehe Karte/Briefing)."

STRS_hideout_flagowner, "The owner of this hideout is %1", "Der Besitzer dieses Hideouts ist: %1"

STRS_hideout_locked_entered, "%1 has entered your hideout.", "%1 hat dein Versteck betreten."
STRS_hideout_locked, "Hideout locked.", "Hideout abgeschlossen."
STRS_hideout_unlocked, "Hideout unlocked.", "Hideout aufgeschlossen."

STRS_hideout_marker, "Your Hideout", "Dein Versteck"

STRS_item_alreadygothideout, "You already have a hideout.", "Du hast bereits ein Hideout."

//-----------STOERSENDER--------------
STRS_item_stoersender, "Jammer", "Stoersender"
STRS_item_stoersender_info, "You can block the Civ marker for a certain amount of time using this item.", "Mit diesem Item kannst du den Civmarker fuer eine bestimmte Zeit verschwinden lassen."
STRS_inventar_stoersender_alreadyinuse, "You can not use it until your current marker jamming is over.", "Du kannst es nicht benutzen bis die aktuelle Stoerung zu Ende ist."
STRS_inventar_stoersender_success, "You jammed your Civ marker. No-one will see your marker for the next %1 minutes.", "Du hast deinen Civmarker gestoert. Fuer die naechsten %1 Minuten kann niemand deinen Marker sehen"
STRS_inventar_stoersender_end, "Your Marker jamming has ended.", "Deine Markerstoerung ist zuende"

//-----------VERSICHERUNG--------------
STRS_item_versicherung, "Bank Insurance", "BankVersicherung"
STRS_item_versicherung_info, "You cannot lose any money when the bank is robbed while having this item in your inventory. Each time the bank gets robbed one insurance item will be removed.", "Waehrend du dieses Item bei dir hast, kannst du kein geld verlieren, wenn die Bank ausgeraubt wird. Jedes mal, wenn die Bank ausgeraubt wird, verlierst du jedoch eins deiner Versicherungen."

//-----------LOCKPICK--------------
STRS_item_lockpick, "Lock Pick", "Dietrich"
STRS_item_lockpick_info, "With this device you can steal other vehicles and acquire the keys.", "Mit diesem Geraet kannst du andere Autos zu deinem eigenem machen."
STRS_inventar_lockpick_zuweit, "No vehicle close enough.", "Kein Fahrzeug ist nah genug."
STRS_inventar_lockpick_gesehen, "%1 stole a vehicle (registration plate: %2)!", "%1 hat ein Fahrzeug geklaut (Kennzeichen: %2)!"
STRS_inventar_lockpick_already, "you already own this vehicle.", "Dir gehoert dieses Fahrzeug bereits."
STRS_inventar_lockpick_success, "You break opened this vehicle!", "Du hast dieses Fahrzeug geknackt!"
STRS_inventar_lockpick_noluck, "No Luck this time!", "Du hast dieses mal kein Glueck gehabt!"
STRS_inventar_lockpick_cant, "Your already using a lockpick, wait until your done.", "Du benutzt zurzeit einen Lockpick, warte bis du fertig bist."

//------------DRUGS---------
STRS_inv_item_marijuanaseed, "Marijuana Seed", "Marijuana Samen"
STRS_inv_item_cocaineseed, "Cocaine Seed", "Kokain Samen"
STRS_inv_item_drugshed, "Drug Shed", "Drogenlabor"
STRS_inv_item_marijuanaUP, "Marijuana (Unprocessed)", "Marijuana (unverarbeitet)"
STRS_inv_item_CocaineUP, "Cocaine (Unprocessed)", "Kokain (unverarbeitet)"
STRS_inv_item_oliveseed, "Olive seed", "Olivensamen"

STRS_Item_cocaineUP_info, "This cocaine needs to be processed in a drug shed before it can be used/sold", "Dieses kokain muss erst verarbeitet werden bevor du es benutzen/verkaufen kannst"
STRS_item_marijuanaseed_info, "With this seed you can plant Marijuana plants, the plants will grow over time and will be able to be harvested after a period of time, you will need to process the marijuana after harvest",  "Mit diesem Samen kannst du Marijuana pflanzen, die pflanzen brauchen eine weile zum wachsen, nach der ernte muss es verarbeitet werden"
STRS_item_marijuanaUP_info, "This marijuana needs to be processed in a drug shed before it can be used/sold",  "diesen marijuana muss erst verarbeitet werden bevor du es benutzen/verkaufen kannst"
STRS_item_drugshed_info, "You can use the drug shed to place it and create marijuana here", "You can use the drug shed to place it and create marijuana here"
STRS_item_cocaineseed_info, "With this seed you can plant cocaine plants, the plants will grow over time and will be able to be harvested after a period of time, you will need to process the cocaine after harvest", "mit diesem samen kannst du kokainpflanzen pflanzen, die pflanzen brauchen eine weile zum wachsen, nach der ernte muss es verarbeitet werden"
STRS_item_olive_info, "With this seed you can plant olive tree, the tree will grow over time and you will be able to harvest him", "mit diesem samen kannst du olivenbaeume pflanzen, die baeume brauchen eine weile zum wachsen"

STRS_Drugs_DestroyShed, "You destroy a drug shed", "Du hast ein Drogenlabor zerstört"
STRS_Drugs_HarvestMarijuana, "You harvest a Marijuana Plant", "Du hast eine Marijuanapflanze geerntet"
STRS_Drugs_Plant_Marijuana, "You plant a marijuana plant, it will take some time to grow",  "Du hast eine marijuanapflanze gepflanzt, sie braucht einige zeit zum wachsen"
STRS_Drugs_Marijuana_NearlyReady, "A marijuana plant is almost ready to be harvested", "eine marijuanapflanze ist fast fertig und kann bald geerntet werden"
STRS_Drugs_Marijuana_Ready, "A Marijuana plant is ready to be harvested", "eine marijuanapflanze ist bereit zum ernten"
STRS_Drugs_Marijuana_Burn, "You set the marijuana plant on fire destroying the evidence", "du verbrennst die marijuanapflanze um beweise zu vernichten"
STRS_Drugs_PlaceShed, "You construct a drug shed here", "du hast ein drogenlabor gebaut"
STRS_Drugs_NoMarijuana, "You have no unprocessed marijuana",  "du hast kein unverarbeitetes marijuana"
STRS_Drugs_ProcessMarijuana, "You process 1 Marijuana", "du verarbeitest 1 Marijuana"

STRS_Drugs_Plant_Cocaine, "You plant a cocaine plant, it will take some time to grow", "Du hast eine kokainpflanze gepflanzt, sie braucht einige zeit zum wachsen"
STRS_Drugs_Cocaine_NearlyReady, "A cocaine plant is almost ready to be harvested", "eine kokainpflanze ist fast fertig und kann bald geerntet werden"
STRS_Drugs_Cocaine_Ready, "A cocaine plant is ready to be harvested", "eine kokainplanze ist bereit zum ernten"
STRS_Drugs_Cocaine_Burn, "You set the cocaine plant on fire destroying the evidence", "du verbrennst die kokainpflanze um beweise zu vernichten"
STRS_Drugs_HarvestCocaine, "You harvest a Cocaine Plant", "du erntest eine kokainpflanze"
STRS_Drugs_ProcessCocaine, "You process 1 Cocaine", "du verarbeitest 1 kokain"
STRS_Drugs_NoCocaine, "You have no unprocessed cocaine", "du hast kein unverarbeitetes kokain"

STRS_action_Drugs_MarijuanaBurn, "[Burn Marijuana]", "[Marijuana verbrennen]"
STRS_action_Drugs_MarijuanaHarvest, "[Harvest Marijuana]", "[Marijuana ernten]"
STRS_action_Drugs_DestroyShed, "[Destroy Shed]", "[Drogenlabor zerstören]"
STRS_action_Drugs_ProcessMarijuana, "[Process Marijuana]", "[Marijuana verarbeiten]"
STRS_action_Drugs_ProcessCocaine, "[Process Cocaine]", "[Kokain verarbeiten]"
STRS_action_Drugs_CocaineBurn, "[Burn Cocaine]", "[Kokain verbrennen]"
STRS_action_Drugs_CocaineHarvest, "[Harvest Cocaine]", "[Kokain ernten]"
STRS_action_Drugs_olive_Burn, "You burn the olives", "Du verbrennst die Oliven"

STRS_Drugs_Plant_olive, "You plant an olive tree, it will take some time to grow", "Du hast einen Olivenbaum gepflanzt, er wird einige Zeit zum wachsen brauchen"
STRS_action_Drugs_oliveBurn, "[Burn Olives]", "[Burn Olives]"
STRS_action_Drugs_OliveHarvest, "[Harvest Olives]", "[Ernte Oliven]"
STRS_Drugs_olive_NearlyReady, "An olive tree is almost ready to be harvested", "Ein Olivenbaum wird bald bereit zur ernte sein"
STRS_Drugs_olive_Ready, "An olive tree is ready to be harvested", "Ein Olivenbaum ist bereit geerntet zu werden"
STRS_Drugs_Harvestolive, "You harvest an olive tree", "Du erntest einen Olivenbaum"



//-----------FARM ITEMS--------------
STRS_item_holz, "Wood", "Holz"
STRS_item_eisenerz, "Iron Ore", "Eisenerz"
STRS_item_gold, "Gold-Nuggets", "Gold-Nuggets"
STRS_item_goldbarren, "Gold-Bar", "Gold-Barren"
STRS_item_mineraloel, "Mineral Oil", "Mineraloel"
STRS_item_ebauteile, "Electronic Components", "Elektronische Bauteile"
STRS_item_silizium, "Silicon", "Silizium"
STRS_item_kupfer, "Copper", "Kupfer"
STRS_item_stahl, "Steel", "Stahl"
STRS_item_schwarzpulver, "Black Powder", "Schwarzpulver"
STRS_item_schwefel, "Sulphur", "Schwefel"
STRS_item_kohle, "Coal", "Kohle"
STRS_item_erdoel, "Petroleum", "Erdoel"
STRS_item_glas, "Glass", "Glas"
STRS_item_plastik, "Plastic", "Plastik"
STRS_item_sand, "Sand", "Sand"
STRS_item_stone, "Stone", "Stein"
STRS_item_bricks, "Bricks", "Bricks"
STRS_item_stahlwolle, "Steel Wool", "Stahlwolle"
STRM_verseuchte_zone, "Contaminated Zone", "Kontaminierte Zone"

STRS_item_farmitem_info, "This item can be used in order to create other items in factories.", "Dieses Item kann benutzt werden, um andere items in Fabriken herzustellen."

// GILDEN
// ############################################################################029

STRS_gilde_cop, "You are a Cop, you are not allowed to use guilds.", "Als cop darfst du dich in Gilden nicht einmischen."
STRS_gilde_schonmember, "You are already a Member of a guild", "Du bist bereits Mitglied einer Gilde"
STRS_gilde_keinmoney, "You do not have enough money to create a guild. You need $%1.", "Du hast nicht genug geld, eine Gilde zu erstellen. Du brauchst $%1."
STRS_gilde_erstellt, "You have created a new guild. It has the name %1 and it has the Guild-ID %2. With this ID the Members of your guild are identified.", "Du hast eine neue Gilde gegruendet. Ihr Name ist %1 und sie hat die Gilden-ID %2. Unter dieser ID werden die Member deiner Gilde identifiziert."
STRS_gilde_beitreten_keinmoney, "You do not have enough money to join a guild. You need $%1.", "Du hast nicht Genug geld, um dieser Gilde beitreten zu koennen. Du brauchst $%1"
STRS_gilde_beigetreten, "You joined a guild. You paid $%1 for that.", "Du bist einer Gilde beigetreten. Du hast $%1 dafuer bezahlt."
STRS_gilde_beigetreten_leader, "%1 joined your Guild. You got $%2 from him.", "%1 ist deiner Gilde beigetreten. Du hast $%2 von ihm bekommen."
STRS_gilde_zuviele, "You can not join this Guild. It has reached the maximum of players per guild or joining this guild has been disabled by the leader.", "Du kannst dieser Gilde nicht beitreten. Sie hat das Maximum an Spielern pro Gilde erreicht oder das Beitreten wurde vom Gildenleader deaktiviert."
STRS_gilde_keinegilde, "You are not in a Guild.", "Du bist in keiner Gilde."
STRS_gilde_verlassen, "You left your Guild.", "Du hast deine Gilde verlassen."
STRS_gilde_verlassen_leader, "Someone has left your Guild.", "Jemand hat deine Gilde verlassen."
STRS_gilde_newleader, "The Leader of this Guild has left the Guild, you are now the leader!", "Der Leader dieser Gilde hat die Gilde verlassen, du bist nun der Leader!"
STRS_gilde_keinegewaehlt, "You did not select a guild.", "Du hast keine Gilde gewaehlt."
STRS_gilde_rausgeworfen, "You were kicked out of the guild by the leader!", "Du wurdest vom Leader aus der Gilde gekickt!"
STRS_gilde_keinname, "The name must not be empty!", "Der Name darf nicht leer sein!"
STRS_gildeid, "Guild-ID", "Gilde-ID"
STRS_gilde_gruender, "Founder", "Gruender"

STRS_gilde_gangwar_keinleader, "You are not the Leader, so you can not take this area.","Du bist nicht der Leader, daher kannst du nicht dieses Gebiet erobern."
STRS_gilde_gangwar_notactive, "Currently it is not possible to take areas.", "Derzeit ist es nicht moeglich, Gebiete zu erobern."
STRS_gilde_gangwar_geradeversucht, "You already tried it a short time ago.", "Du hast es erst kuerzlich versucht."
STRS_gilde_gangwar_bereitserobert, "Area already taken.", "Das Gebiet ist bereits erobert."
STRS_gilde_gangwar_andereimgebiet, "Area not taken, because member of other guilds are in this area.", "Gebiet nicht erobert, weil sich andere Gildenmitglieder sich in diesem Gebiet befinden."
STRS_gilde_gangwar_erobert, "Area taken!", "Gebiet erobert !"

STRS_gilde_neueregierung, "A new government has been set up.", "Eine neue Regierung ist angetreten."
STRS_gilde_keineregierung, "The government has been disbanded.", "Es gibt keine Regieung mehr."

STRS_addaction_gangarea, "Own this area!", "Dieses Gebiet erobern!"
STRS_gilde_kampfstart, "A fight for the gang areas has started.", "Ein Kampf um die Gang-gebiete hat angefangen."
STRS_gilde_kampfende, "The fight for the gang areas ended.", "Der Kampf um die Gang-gebiete ist nun beendet."

STRM_mission_marker_gangarea1, "Gang Area 1", "Gang-gebiet 1"

STRS_addaction_gesetz, "Change the Law", "Gesetze Aendern"

STRD_dialogandere_gesetze_header, "Change laws (You have to choose a slot in the list below. It may be empty.)", "Gesetze aendern (Du musst einen Slot in der Liste auswaehlen. Dieser kann auch leer sein.)"
STRD_dialogandere_gesetze_submit, "Change!", "Aendern!"

STRS_gilde_gesetze_public, "Law #%1 has been changed. This is the new Law: %2", "Gesetz #%1 wurde geaendert. Der neue Text lautet nun: %2"

STRD_description_punktekauf_header, "Buy Guild-Points", "Gildenpunkte kaufen"
STRS_dialogandere_punktekauf_anzeigetext, "Buy %1 point(s) for $%2", "%1 Punkt(e) fuer $%2 kaufen"
STRS_addaction_gildenpunkte, "Buy Points (Guild)", "Punkte kaufen (Gilde)"
STRS_gilde_punktegekauft, "You have bought %1 Guild-Points for $%2.", "Du hast %1 Gilden-Punkte fuer $%2 gekauft."

STRD_description_gildeverwalten_sperren_submit, "Update!", "Aktuallisieren!"
STRD_description_gildeverwalten_sperren_header, "Join allowed?", "Beitreten erlaubt?"
STRD_description_gildegruenden_hinweis, "Note: The Name MUST NOT contain quotes! Using quotes will crash the script and you will get an error. If you have further problems using the guilds, you have to leave your guild, which does not exist, using the leave button from the guild's main menu.", "Hinweis: Im Namen duerfen KEINE Anfuehrungszeichen vorkommen. Mit Anfuehrungszeichen im Namen kommt das Script nicht klar und du wirst eine Fehlermeldung bekommen! Sollte es zu Problemen kommen, musst du im Gildenhauptmenu deine Gilde, die nicht existiert, verlassen."

// STUN
// ############################################################################030

STRS_stunned_enabled, "You are getting tazered!. Wait until the current-flow stops before you try to move.", "Du wirst gerade getasert, warte bis der Stromfluss unterbricht, bevor du versuchst aufzustehen."
STRS_stunned_disabled, "You recovered. Use the Animation menu and play the animation -normal- in order to stand up again.", "Du hast dich erhohlt. Um wiederaufzustehen, benutz die Animation -normal- aus dem Animationsmenu."
STRS_stunned_iamtheone, "I stunned %1!", "Ich habe %1 geschockt!"

// SHOPS
// ############################################################################032

STRS_alreadygotshop, "You already own this shop.", "Dir gehoert bereits dieser shop."
STRS_gotshop, "%1, you bought this shop for $%2.", "%1, du hast diesen Shop fuer $%2 gekauft."

// COP PRISON
// ############################################################################033

STRS_cop_inprison, "You are in prison because you team-killed a cop.", "Du bist im Gefaengnis, weil du einen Cop getoetet hast."
STRS_cop_freeprison, "You are free again.", "Du bist wieder frei."

// FACTORIES
// ############################################################################034

STRM_mission_marker_fac_weapon, "Pistol Factory", "Pistolenfabrik"
STRM_mission_marker_fac_smg, "SMG Factory", "SMG Fabrik"
STRM_mission_marker_fac_rifle, "Rifle Factory", "Gewehr Fabrik"
STRM_mission_marker_fac_heavweapon, "Heavy Weap Factory", "Schw. Waffen Fabrik"
STRM_mission_marker_fac_vehicle, "Vehicle Factory", "Fahrzeugfabrik"
STRM_mission_marker_fac_item, "Item Factory", "Itemfabrik"
STRM_mission_marker_fac_res, "Resource Factory", "Ressourcenfabrik"
STRM_mission_marker_fac_construc, "Construction/Buildings Factory", "Haeuser/Konstruktions Fabrik"
STRM_mission_marker_fac_oresmelt, "Ore Smelter", "Erz Schmelze"
STRM_mission_marker_fac_food, "Food Factory", "Nahrungsmittelfabrik"
STRM_mission_marker_fac_water, "Water treatment plant", "Wasseraufbereitungsanlage"
STRM_mission_marker_fac_food, "Food processing plant", "Nahrungsmittel Fabrik"
STRM_mission_marker_fac_alk, "Alkohol/Tobacco Factory", "Alkohol/Tabak Fabrik"
STRM_Jewelry_Factory, "Jewlery Factory", "Schmuck Fabrik"

STRM_mission_marker_mine_erz, "Iron Ore Mine", "Eisenerzmine"
STRM_mission_marker_mine_oel, "Oil Well", "Oelquelle"
STRM_mission_marker_mine_kupfer, "Copper Mine", "Kupfermine"
STRM_mission_marker_mine_holz, "Wood", "Holz"
STRM_mission_marker_mine_sand, "Sand", "sandgrube"
STRM_mission_marker_mine_silizium, "Silicon Mine", "Siliziummine"
STRM_mission_marker_mine_schwefel, "Sulphur Mine", "Schwefelmine"
STRM_mission_marker_mine_kohle, "Coal Mine", "Kohlemine"
STRM_mission_marker_mine_stone, "Stone Mine", "Steinmine"

// CRIMELOG
// ############################################################################035

STRS_functions_crimelog_msg1, "Robbed the bank and stole $%1.", "Hat die Bank ausgeraubt und bekam $%1."
STRS_functions_crimelog_msg2, "Stole money from another civ.", "Hat money von einem anderen Civ gestohlen."
STRS_functions_crimelog_msg3, "Killed another civ.", "Hat einen Civ getoetet."
STRS_functions_crimelog_msg4, "Killed another cop.", "Hat einen Cop getoetet."
STRS_functions_crimelog_msg5, "Was sent to prison.", "Wurde verhaftet."
STRS_functions_crimelog_msg6, "Was released from prison.", "Wurde wieder freigelassen."
STRS_functions_crimelog_msg7, "Escaped from prison.", "Ist aus dem Gefaengnis ausgebrochen."
STRS_functions_crimelog_msg8, "Has died.", "Starb."
STRS_functions_crimelog_msg9, "Paid a ticket of %1.", "Hat einen Strafzettel in hoehe von $%1 bezahlt."
STRS_functions_crimelog_msg10, "Used a bomb.", "Benutzte eine Bombe."
STRS_functions_crimelog_msg11, "Entered the Terrorcamp.", "Hat das Terroristenlager betreten."

// MAYOR
// ############################################################################036

STRS_addaction_wahlen, "Vote for goverment positions", "Regierung Waehlen"
STRD_description_wahl_header, "Mayor Election", "Buergermeister Wahlen"
STRD_description_chief_header, "Chief Election", "Polizei-Chief Wahlen"

STRD_description_wahl_submit, "Elect Mayor", "Buergermeister waehlen"
STRD_description_chief_submit, "Elect Chief", "Polizei-Chief waehlen"

STRS_chief_new, "%1 is now the chief of police, He won with %2 votes.", "%1 ist der neue chief der Polizei! Er hat mit %2 Stimmen gewonnen."
STRS_mayor_new, "%1 is now the new Mayor! He won with %2 votes.", "%1 ist der neue Buergermeister! Er hat mit %2 Stimmen gewonnen."
STRS_regierung_votedfor, "You voted for %1. The result will be shown at the end of the current government.", "Du hast fuer %1 gestimmt. Das Ergebnis wird am ende der aktuellen Regierung bekanntgegeben."
STRS_chief_votedfor, "You voted for %1. The result will be shown when the next police of chief is elected", "Du hast fuer %1 gestimmt. Das Ergebnis wird am ende der aktuellen Regierung bekanntgegeben."
STRS_regierung_nomajor, "Currently no Mayor has been elected.", "Derzeit ist kein Buergermeister gewaehlt."
STRS_chief_nochief, "There is current no chief of police, it is recommended the police vote one to organise them", "Es ist momentan kein Polizei-Chief geweahlt, es wird dringend empfohlen einen zu weahlen!"
STRS_regierung_majorstays, "The old Mayor stays.", "Der alte Buergermeister wurde wiedergewaehlt."
STRS_chief_chiefstays, "The Current chief of police stays", "Der momentane Polizei-Chief bleibt geweahlt"

// TAXES
STRD_description_steuer_header, "Taxes, Welfare, Payments", "Steuern, Sozialhilfe, Zahlungen"
STRD_description_steuer_submit, "Confirm Changes", "Aenderungen Bestaetigen"

STRS_dialogandere_steuerdialog_itemsteuer, "Item tax: %1 Percent", "Item Steuer: %1 Prozent"
STRS_dialogandere_steuerdialog_fahrzeugsteuer, "Vehicle tax: %1 Percent", "Fahrzeug Steuer: %1 Prozent"
STRS_dialogandere_steuerdialog_magazinsteuer, "Weapon Magazine tax: %1 Percent", "Magazin Steuer: %1 Prozent"
STRS_dialogandere_steuerdialog_waffesteuer, "Weapon tax: %1 Percent", "Waffen Steuer: %1 Prozent"
STRS_dialogandere_steuerdialog_banksteuer, "Bank Transfer tax: %1 Percent", "Bank Transfer Steuer: %1 Prozent"
STRS_dialogandere_steuerdialog_fuelsteuer, "Fuel tax: %1 Percent", "Treibstoff Steuer: %1 Prozent"

// IncomeTaxes
STRS_dialogandere_steuerdialog_ictaxclass1, "Income-Tax(0-1000$): %1 Percent", "Einkommensteuer(0-1000$): %1Przt"
STRS_dialogandere_steuerdialog_ictaxclass2, "Income-Tax(1001-4000$): %1 Percent", "Einkommensteuer(1001-4000$): %1Przt"
STRS_dialogandere_steuerdialog_ictaxclass3, "Income-Tax(4001-9999$): %1 Percent", "Einkommensteuer(4001-9999$): %1Przt"
STRS_dialogandere_steuerdialog_ictaxclass4, "Income-Tax(10000-20000$): %1 Percent", "Einkommensteuer(10000-20000$): %1Przt"
STRS_dialogandere_steuerdialog_ictaxclass5, "Income-Tax(>=20001$): %1 Percent", "Einkommensteuer(>=20001$): %1Przt"

// Wealth-Taxes
STRS_dialogandere_steuerdialog_wealthtaxlimit, "Wealth-tax BankLimit: %1$", "Vermoegenssteuer Bank-Limit: %1$"
STRS_dialogandere_steuerdialog_wealthtaxpercent, "Wealth-tax : %1 Percent", "Vermoegenssteuersatz : %1 Prozent"

//Welfare,Sozialhilfe
STRS_dialogandere_steuerdialog_welfareIncomelimit, "Welfare Incomelimit: %1$", "SozHilfe Einkommensgrenze: %1$"
STRS_dialogandere_steuerdialog_welfareBanklimit, "Welfare Account-Limit: %1$", "SozHilfe Kontogrenze: %1$"
STRS_dialogandere_steuerdialog_welfareAmount, "Welfare Amount: %1$", "Sozialhilfe-Satz: %1$"

// MAYOR, CHIEFPOLICE PAY, INTEREST RATES, POLICE PAY
STRS_dialogandere_steuerdialog_MayorIncome, "Mayor Salary: %1$", "Buergermeister Gehalt: %1$"
STRS_dialogandere_steuerdialog_PolChiefIncome, "Police Chief Salary: %1$", "Police Chief Gehalt: %1$"
STRS_dialogandere_steuerdialog_InterestRates, "Bank Interest: %1 Percent", "Bank Zinzsatz: %1 Prozent"
STRS_dialogandere_steuerdialog_PoliceIncome, "Police Basic-Salary: %1$", "Polizei Grundgehalt: %1$"

STRS_bank_dialoge_taxaccountgovtext, "Money on Government Account:", "Geld auf Regierungskonto:"
STRS_bank_dialoge_taxaccountgovValue, "%1 $", "%1 $"
STRS_bank_wealthtax_message, "Your Bank Account currently has %1$ in it. You are over the set threshold of %2$ and after government settings, you count as being wealthy, therefor you have to pay %3$ (%4 percent) in wealth-taxes. The Tax will be transfered to the governments bank account at the next Paycheque.", "Du hast Momentan %1$ auf dem Konto. Du liegst damit ueber der Schwelle von %2$ und zaehlst fuer die Regierung als Wohlhabend, deshalb musst du %3$ (%4 Prozent) an Vermoegenssteuer zahlen. Das Geld wird an das Regierungskonto mit dem naechsten Gehaltsscheck Ueberwiesen."

STRS_mayor_screams_out_changes, "The Government has changed Various Taxes, Social-Welfare, Payments, Interest-Rates and/or other Details!", "Die Regierung hat verschiedene Steuern, Sozialhilfesaetze, Loehne+Gehealter, Zins-raten und/oder andere Details geaendert!"
STRS_mayor_tax_changes_inDetail, "The Government made these Numbers public:\n\nMayor Salary: %1$\nChief-Police Salary: %2$\nCop Default Salary: %3$\nWelfare: %4$\nWelfare-Income-limit:%5$\nWelfare-Bank-Limit:%6$\n\nWealth-Tax Bank-Limit: %7$\nWealth-Tax: %8 Percent\n\nVAT:\nItems: %9 Percent\nVehicles: %10 Percent\nWeapons: %11 Percent\nMagazines: %12 Percent\nBank-Trans.: %13 Percent\nFuel: %14 Percent", "Die Regierung gibt folgende Zahlen bekannt:\n\nBuergermeister Gehalt: %1$\nChief-Police Gehalt: %2$\nPolizei Grundgehalt: %3$\nSozialhilfesatz: %4$\nSozialhilfe Einkommensgrenze:%5$\nSozialhilfe Kontoschwelle:%6$\n\nVermoegenssteuer Kontoschwelle: %7$\nVermoegenssteuer: %8 Prozent\n\nMehrwertsteuern:\nItems: %9 Prozent\nFahrzeuge: %10 Prozent\nWaffen: %11 Prozent\nMagazine: %12 Prozent\nBank-Trans.: %13 Prozent\nTreibstoff: %14 Prozent"

STRS_addaction_steuern, "Change taxes", "Steuern setzen"
STRS_addaction_resignMayor, "Resign as Mayor!", "Als Buergermeister Zuruecktreten!"
STRS_addaction_resignChief, "Resign as Chief!", "Als Chief Zuruecktreten!"
STRS_addaction_resignBodyguard, "Quit Bodyguard Job!", "Bodyguard Job Kuendigen!"

STRS_mayor_resigned, "%1 just resigned from his position as Mayor of Sahrani!\nVote a new one quickly!", "%1 ist soeben von seiner Position als Buergermeister Sahranis zurueckgetreten!\nWaehle schnell einen neuen!"
STRS_chief_resigned, "%1 just resigned from his position as Police Chief!\nVote a new one quickly!", "%1 ist soeben von seiner Position als Polizei-Chief zurueckgetreten!\nWaehle schnell einen neuen!"
STRS_bodyguard_resigned_private, "%You have resigned from your position as the mayors Bodyguard!", "Du bist von deiner Position als Bodyguard des Buergermeisters zurueckgetreten!"
STRS_Bodyguard_resigned_public, "%1 has just resigned from his position as the Mayors Bodyguard", "%1 ist soeben von seiner Position als Bodyguard des Buergermeisters zurueckgetreten!"
STRS_mayor_died, "%1 died and is no longer the elected Mayor - please vote a new one fast!", "%1 ist verstorben und nicht mehr laenger der geweahlte Buergermeister - waehlt schnell einen neuen!"
STRS_chief_died, "%1 died and is no longer the elected Police-Chief - please vote a new one fast!", "%1 ist verstorben und nicht mehr laenger der geweahlte Polizei-Chief - waehlt schnell einen neuen!"

// ANIMATIONS
// ################################################################################################flick

STRS_anim_nur_ohne_waffe, "You cannot play this animation while being armed.", "Du kannst diese Animation nicht spielen, solange du bewaffnet bist."
STRS_anim_nur_mit_waffe, "You cannot play this animation without a weapon.", "Du kannst diese Animation nicht ohne eine Waffe spielen."
STRS_anim_noselect, "Please select an animation.", "Waehle zuerst eine animation aus."
STRS_anim_nohandsup, "You cannot put your hands up now.", "Du kannst deine haende gerade nicht hochnehmen."

STRS_anim_var_handsup, "Hands up", "Haende hoch"
STRS_anim_var_holsterpistol, "Holster Pistol", "Pistole wegstecken"
STRS_anim_var_holsterrifle, "Holster Rifle", "Gewehr wegstecken"
STRS_anim_var_normal, "Normal", "Normal"
STRS_anim_var_die, "Die, fall forward", "Sterbend vorwaerts fallen"
STRS_anim_var_headache, "Head ache", "Kopfschmerzen"
STRS_anim_var_checkweapon, "Check watch with weapon in other hand", "Auf Uhr gucken mit Uhr in der anderen Hand"
STRS_anim_var_martialarts, "Martial arts", "Martial arts"
STRS_anim_var_pushups, "Do Pushups", "Liegestuetzen machen"
STRS_anim_var_situps, "Do knee bends", "Kniebeugen machen"
STRS_anim_var_conversation, "Have a conversion", "Ein Gespraech haben"
STRS_anim_var_getup, "Get up from sitting", "Vom sitzen aufstehen"
STRS_anim_var_sitsmoke, "Sit and smoke", "Sitzen und Rauchen"
STRS_anim_var_sitcheck, "Sit and check weapon", "Sitzen und Waffe ueberpruefen"
STRS_anim_var_atease, "At ease", "Ruehren"
STRS_anim_var_interview, "Interview, give orders, move and prepare to defend", "Bewegend befehle geben und zur Verteidigung vorbereiten"
STRS_anim_var_kneel_1, "Kneel 1", "Knien 1"
STRS_anim_var_kneel_2, "Kneel 2", "Knien 2"
STRS_anim_var_kneel_3, "Kneel 3", "Knien 3"
STRS_anim_var_kneel_4, "Kneel 4", "Knien 4"
STRS_anim_var_kneel_5, "Kneel 5", "Knien 5"
STRS_anim_var_kneel_6, "Kneel 6", "Knien 6"
STRS_anim_var_shit, "Take a shit", "Scheissen"
STRS_anim_var_step_1, "Step right", "Nach rechts ausweichen"
STRS_anim_var_step_2, "Step back", "Zurückweichen"
STRS_anim_var_step_3, "Step left", "Nach links ausweichen"
STRS_anim_var_step_4, "Step back", "Zurückweichen"
STRS_anim_var_step_5, "Step left", "Nach links ausweichen"
STRS_anim_var_dead_1, "Play dead", "Totstellen"
STRS_anim_var_sit_1, "Sit down", "Sitzen"
STRS_anim_var_talk_1, "Talk", "Unterhalten"
STRS_anim_var_medic_1, "Medic 1", "Medic 1"
STRS_anim_var_medic_2, "Medic 2", "Medic 2"
STRS_anim_var_vehicle_1, "Push vehicle", "Fahrzeug schieben"
